"latlon",name
55.68382637.680056,"Дом Сова"
55.68384537.680676,"The Fox and the Crow"
55.68388437.706654,Беседка
55.6838937.875292,"Пожарная Водокачка 1918-го"
55.68389537.450513,"Platforma Ochakovo"
55.68407137.8817,"Вечный огонь"
55.6841837.62269,"Метро Нагатинская "
55.68421337.689173,"Детская Площадка"
55.68424337.581783,"Памятник погибшим в Великой От"
55.68439937.504402,Замок
55.68444537.707445,"Площадка Забытых Душ"
55.68449537.761015,"Памятник "Паристый И.Л.""
55.68452637.585066,"Dom Piramida"
55.68466337.830062,"Въезд в Военное Командное Училище"
55.6846837.526792,Мельница
55.68468137.694532,"Памятник Павшим В Боях За Родину"
55.68479637.483633,Военкомат.
55.68483737.849909,"Фонтан Удовольствий"
55.68486137.667421,Cart
55.68487537.505464,Рыба
55.68509137.66849,"White Arbor"
55.68519637.673327,"Resistance Mothership"
55.68519937.844448,Богатырь
55.68523937.708723,Лодка
55.68527737.866388,"Аллея Славы г. Люберцы"
55.68544437.543863,"Local Graffiti"
55.6855537.733813,Lublino
55.68562437.81079,"Природно-исторический парк"
55.68562937.751478,"Стадион Локомотив"
55.68564137.843832,Bee
55.68564937.687183,Кораблик
55.6857737.741087,"Iron Soldiers"
55.68590337.720154,"Клумба - Фонтан"
55.6859937.475004,"Храм Иверской иконы Божией Матери"
55.68617737.48736,"Качели 3 в 1"
55.68619937.573031,"Барельеф В Сквере Тютчева"
55.68641337.59412,Бабай
55.68646437.899031,"Маковое Поле"
55.68656137.577101,Фонтан
55.68658437.849404,"Монумент МИ-2"
55.68671237.786847,"Сосна "
55.68675537.444059,AutoBot
55.68707937.77603,"Синичка "
55.68718237.398965,"Енот Потаскун"
55.68721237.485931,"Территория Детства"
55.6872337.736318,"Дерево С Непристойным Облаком"
55.68741737.615048,"Научно-Исследовательский Институт Вакуумной Техники Им С. А. Н"
55.68750237.396991,"Zarech'ye Construct"
55.68771637.768214,Пончики
55.68773137.664154,"Лучшие Люди"
55.6877437.749601,"Пух И Пятачок"
55.68774937.468193,Хмель
55.68775237.564649,Горка
55.68777337.594221,"Памятник Дзержинскому"
55.68785637.615899,Героям
55.68786137.551466,"Памятник Войнам Второй Мировой Войны"
55.68792137.730641,Трансформатор
55.68798437.574847,"Памятник Хо Ши Мину"
55.68798737.81021,"Беседка В Парке Кузьминки"
55.6880537.679832,Велосипедистка
55.68808437.878404,"Детская Площадка"
55.68809237.785106,"Экологическая Тропа"
55.6881337.463633,"Управa Очаково-Матвеевское"
55.68818437.901893,"Таможенная Академия "
55.68830337.785707,"Мост В Парке"
55.6883737.777092,"Человек-рыжие Усы"
55.68838737.86007,Fountain
55.68840137.770409,"Карт В Небе"
55.6884437.481437,"Улица Пельше"
55.68844237.621993,Дельфины
55.68848737.873032,"Храм Преображения Господня в Люберцах"
55.688537.543684,"Terracotta Warriors"
55.6886537.395005,"Фонтан " Трубы""
55.68867537.681296,Якоря
55.68875637.500312,"Двойная Горка"
55.68876337.80942,"Терем Творчества"
55.6887737.549838,"Детская площадка"
55.6889737.718499,Церковь
55.6889937.529234,"Почтовое отделение 119311"
55.68914237.516527,"Graffiti on the Wall"
55.6893637.874138,"Old Church"
55.68951337.853047,"Rainbow Plains"
55.68955237.546859,Родимцев
55.68957537.720181,"памятник Михаилу Гурьянову"
55.68965137.784997,кони
55.68994737.731747," Фонтан"
55.69001437.578015,"Tiger And Fox"
55.69008537.694983,Yahta
55.69037437.907365,"Детский Городок"
55.69041337.754276,"Парк Шкулева"
55.69043737.787362,"Цветочный Рояль"
55.69051237.789851,"Храм Влахернской иконы БМ"
55.69055237.860659,"Фонтан у Якитории"
55.69061137.811934,"Руинберг с истребителем"
55.69071737.607141,"Почта России"
55.69072437.565393,"My Little Transformer Unit"
55.69075437.622325,"Ж/Д мост Н.И. Ермолин 1949-1950"
55.69079737.600877,"ТЦ РИО"
55.69093437.600221,"Мемориал Водителям-воинам, вод"
55.69106637.589119,фонтан
55.6913137.902498,Корабль
55.69147837.594283,"Храм Живоначальной Троицы в старых Черемушках"
55.69163737.755628,"Surgeons Mosaic "
55.69185537.840157,"Baby City"
55.69193637.534564,"Станция Метро Университет"
55.69231437.620682,Mural
55.69234437.577504,Фонтан
55.69249537.494649,"Китайский Ресторан"
55.69253637.574431,"Папа Вейдер"
55.69279737.494388,"Дом Культуры «Высотник»"
55.69281637.851426,"Церковь Иоана Кронштадтского"
55.69285137.8527,"Строящийся Храм Сретения Господня "
55.69290237.591282,"Парк (розовый) "
55.69296837.727741,"Метро "Печатники""
55.69308537.721512,"Blue Fish Fontain Gurianova"
55.6931637.660795,Horse
55.69317437.538592," Djavaharlalu Neru"
55.69331237.534866,"Площадь Джавахарлала Неру"
55.69338837.589445,"Alien Space Ship Play Structure"
55.69341937.769245,"Драконьи Врата"
55.69363937.560349,"Скрябин Г. К."
55.69374637.719381,"Post Office 109548"
55.6938137.667952,"Sixtieth Anniversary of Great October Park"
55.69383937.778448,Кручу-верчу
55.69387537.790874,Слоники
55.69421837.539608,Zordinstyle
55.69427537.661488,"Alfa Future People"
55.69428437.882,"Детская крепость"
55.6943437.490662,Замок
55.6944837.557808,"Dmitry Ulyanov Street Memorial Sign"
55.69449637.494949,"Церковь в Раменках"
55.69454737.528262,"Пальцы Шейперов"
55.69457937.903067,Butterfly
55.69476237.757818,Хороборы
55.69490437.74512,"Грин Кар"
55.69511637.613607,Цтп
55.69512837.49735,Фонтан
55.69515737.901566,"Rotary Wing Legend [Helicopter Monument]"
55.6952137.758543,"Москва Церковь"
55.69523637.424039,"Ёжик И Мишка Без Тумана"
55.69524837.88877,"Памятник Митрофанову М.Н."
55.69529137.55437,"Hanging wheel"
55.69532537.744907,Палуба
55.69548737.768113,"Царь "
55.69560937.888535,"Парк Наташинский "
55.6957137.533409,"Адвокат Анатолий Кони"
55.69575937.796783,"Чунтонову Николаю Григорьевичу"
55.69590637.737969,"Детский Городок"
55.69595737.505642,"Пара Цапель"
55.69598237.908103,"Flower Butterfly"
55.69602237.755471,"Граффити Горы"
55.69614637.390135,"Moscow School of Management Skolkovo Building"
55.6961837.507979,"Замок "
55.69619637.812212,"Мальчик|Девочка Граффити"
55.69620837.866654,"Пруд Ухтомский"
55.69621637.616409,"Машинка "Зил" на крыше"
55.69625137.546767,"Street Art By Alexey Kio"
55.69631237.908012,"Children's Castle"
55.69649537.811193,Спорт-Вампир
55.69649837.819795,"Горка В Голубом Стиле "
55.69649937.893706,Корзина
55.69664637.741287,Электрощитовая
55.69670237.616683,"Церковь баптистов"
55.69685637.625804,"Даниловский Чел"
55.69693737.887387,Лошадки
55.69713737.825525,"Steam Locomotive"
55.6971437.785883,Мельница
55.69717837.80814,Информация
55.69718137.458113,Graffity
55.69722237.355145,"Skolkovo Cubed landsign"
55.69726537.736982,"Пластиковая Горка Для Маленьких"
55.69739737.743601,"Центральная библиотека 42"
55.69746637.776672,"Мемориал "
55.69755937.786415,"Какой Ты Нафиг Танкист!"
55.69758737.884535,"Сцена в парке"
55.69761337.565182,"Plate to Academician Tamm"
55.69766137.875926,"Monument by Aviator"
55.69769837.754502,Башенка
55.69771737.786513,"Свин Фермер"
55.69773937.896288,"Детский Паровозик"
55.69783237.821653,"Детская Площадка"
55.69790337.787568,"Детский городок"
55.6979937.889151,Статуя
55.69802437.849548,"Памятник Военным Летчикам"
55.69803337.862602,"Аквариум Графити"
55.69820237.498028,"Apple Tree mozaic"
55.69825437.696783,"Памятник Женщине"
55.69834237.53892,"Вечный огонь у Первого Гума "
55.69847137.624351,"Башня Даниловской Мануфактуры"
55.69848737.572704,Колонны
55.69861137.795,"Памятник погибшим"
55.69871537.807277,"Москвичам Защитникам Отечества"
55.69879737.84765,"Фонтан Львы"
55.69884737.733863,Машинка
55.6988537.863749,"Ухтомская Станция"
55.69890337.756049,"Тепло И Свет"
55.69902637.5143,Конструкция-3
55.69914137.62323,"Мозайка Настенная "
55.69929437.770926,"Весёлая панда"
55.6993337.764562,"Ленин такой молодой"
55.69933937.791665,"Граффити Про Войну"
55.69937237.682167,"Памятник 90-лет Southern Port"
55.69942837.516414,"Памятник Чехову"
55.69951737.773348,"Тут Был Гоков"
55.69954137.842554,"Почта Жулебинская"
55.69954937.500817,"Шар Из Мрамора "
55.69975237.898145,Павлин
55.70004537.811801,Площадка
55.700337.808741,"Крокодил Гена И Чебурашка"
55.70034337.546783,"здесь будет памятник Симону Боливару"
55.70034837.527061,"Фонтанка МГУ"
55.70047737.826174,"Playground Under Greenlight"
55.70055737.624826,"Memorial Plate Nikholay Gastello"
55.70071237.568788,"Проходная Института Металлургии РАН"
55.70071237.751239,"Фонтан У Тест-драйв"
55.70091437.52706,"Moscow State University Main B"
55.70104737.749178,"Фонтан на Волжском бульваре"
55.70114137.578407,"Знак Район Академический"
55.70114537.542879,"Moscow Astronomy Observatory"
55.70118137.755249,Хусид
55.70146337.475662,R-girl
55.70149137.790451,Карусель
55.70169737.604683,"Монумент Подводная лодка"
55.70171537.616682,Стрекоза
55.70179637.525931,Менделеев
55.70181837.91614,Dinosaur
55.70184537.842434,"Скульптура Крокодила"
55.70184937.787314,"Площадка Африканские Напевы"
55.70185437.620616,"Беседка в Южном скверике"
55.70198237.746595,"Детская Библиотека"
55.70201437.738282,"Площадка На Артюхиной"
55.70234937.739793,"Детская Площадка"
55.7023737.467832,"Hills Graffiti"
55.7024237.645197,"Ледовый Дворец ВТБ"
55.70249837.621143,"Граффити Паровоз"
55.70256237.668507,"Церковь "
55.7025837.759988,"Спортивная Площадка"
55.70258837.556425,Дуб
55.70259137.817409,"Graffite "
55.70268337.530963,MGU
55.70277537.582157,"Граффити "Лужайка с цветами""
55.70284937.411068,"Храм Святителя Николая в Троекурове"
55.7029237.505648,Корабль
55.7029437.581062,"Телега Конь"
55.70309137.567826,"Дворец Труда Профсоюзов"
55.7031337.774306,"Купите Лук"
55.70319637.661236,"Street Trofimova"
55.70321937.816337,"Памятная доска Герой СССР А.П.Ивашенков"
55.70324337.684538,"Жёлтый Фонтан"
55.70327637.525991,"чаша зла"
55.7034337.468292,"Little Crocodile"
55.7035237.590996,Flagpoles
55.7036137.82323,"Пиллары Света Просвящения"
55.70366537.671802,"Мать защитница"
55.70370837.574093,"Old Wheel"
55.70370937.78218,"Информационный Стенд"
55.70373137.641989,"Лихачёв И. А."
55.70379637.889914,"Храм Живоначальной Троицы в Наташине"
55.70385237.741753,Фонтан
55.7039337.752172,"Фонтан Осень"
55.70394237.483422,"Old Water Pump"
55.70395537.603004,"Памятник Махмуду Эсамбаеву на"
55.70420837.917378,"Фонтан В Люберецких Полях"
55.70421237.52167,"Faculty of Biology and Soil Science"
55.70421537.622711,"Платформа ЗИЛ"
55.70423237.810575,Паутина
55.70433637.679566,"Синица И Карандаши"
55.70439537.744434,"Львёнок из мультфильма"
55.70446537.657251,"Странная Башня"
55.7045137.779424,"Памятник Есенину"
55.70455837.482046,"Matveevskoe Railway Station"
55.70466937.364916,Памятник
55.70476737.744217,"Граффити герои мультфильмов"
55.70477437.767398,"Метро "Кузьминки""
55.70485537.514073,"Indira Ghandi Square"
55.70498837.604406,"Old Public Telephone"
55.70506337.55523,"Графити На Стене"
55.70507637.550883,Нечто
55.70516937.667156,"Южный округ"
55.70543937.504749,"Горка на Столетова"
55.70545937.653625,"Женщина На Скамейке"
55.70548837.818056,"Hero's Monument"
55.70551737.404217,"Вечная Слава"
55.70554137.536069,Ломоносов
55.7055937.753626,"Детская Площадка"
55.70575237.796921,"Церковь Святой Блаженной Ксении Петербургской."
55.70586437.471215,"Animal Figures"
55.70599937.685994,"Граффити лес"
55.7061237.757447,"Районная Табличка"
55.70623337.690123,"3 Metal Figure"
55.70631937.916444,"White-Blue Ship"
55.70649437.579462,"Площадь Гагарина"
55.70655337.327404,"Fenix Ship"
55.70655437.668901,"Garden Fountain"
55.70673637.455448,"Пьяный Санта"
55.70675637.58498,"Ст.М. Ленинский Проспект (Юг)"
55.70677537.464438,"Детская площадка"
55.7068137.419311,"Борис Хмельницкий"
55.70682137.457693,"Недостроенный аквапарк"
55.70687237.466533,Panther
55.70691437.598914,"Каменный Цветок Фонтан"
55.70693137.564654,"Косыгин А.Н."
55.70700737.766535,"фонтан "Музыка славы""
55.70701737.462625,"Post Office Tortik"
55.70714537.726438,"AZLK Factory Museum"
55.70717737.620113,"Сипадан "
55.70719337.556536,"Усы Горького"
55.70729537.921664,"Скейтерская Площадка"
55.70731437.75439,"Районная Табличка"
55.70735837.512832,"Яблоки На Деревьях"
55.70743937.727902,Фонтан
55.70747137.658648,"памятник защитникам Москвы"
55.70761437.767615,"Стена Граффити"
55.70786337.813631,"Граффити Озеро"
55.70787237.613618,"Monument to Fighters for Independence"
55.70798637.548486,"Герцен и Огарев 1979г"
55.70798937.396587,"Граффити 70 лет ВОВ"
55.70804637.790465,"Пятерочка Полетаева"
55.7080537.725877,"Политехнический Музей"
55.70806237.816001,"Фонтан Имени Памяти Подвига Неизвестного Героя"
55.70822537.472778,"Разрушенный кинотеатр "Планета"
55.70824737.582557,"Монумент Юрию Гагарину"
55.70833837.624679,Метеорит
55.70843237.597047,"World War 2 Memorial"
55.70849237.638111,Фонтан
55.70851937.746751,Церковь
55.70855737.549614,"Колобок дегустирует мухоморы"
55.70857237.52149,ЦИТ
55.7086137.670804,"Plants and Tubes Mural"
55.70876837.8254,"Почтовое Отделение 109417"
55.70879237.593185,"Old Object"
55.70879937.790934,"Информационный Стенд"
55.70886737.764584,"Граф Бардо"
55.70889137.47745,Простоквашино
55.70890537.781226,"Фёдор Полетаев"
55.70904237.653473,"Omega Plaza Bussines Center"
55.70913437.679087,"Крутой Спуск"
55.70915237.657722,"Мемориал Мастеркову А.Б"
55.70917437.889258,"Площадка для Паркура"
55.70926637.507476,"Настороженный Олень"
55.70931437.890214,"Коняшки на стене"
55.70931537.48647,Машинка
55.70934937.395615,"Детская площадка"
55.70944737.402826,Пруд
55.70946837.733399,"Станция Метро Текстильщики"
55.70959537.731892,"Облака Река Жара"
55.7098237.622239,"Ереван Плаза"
55.70983837.59971,"Молись И Кайся"
55.70986137.517123,"Табличка посольства Китая"
55.70995937.559002,"Vorob'evy Gory Metro Station"
55.70998837.67531,"Трц Мозаика"
55.7100237.445169,"Vereyskaya Plaza"
55.71013437.598084,"Ёжик В Тумане"
55.7101737.443068,Лев
55.71021437.636238,"Robot Made From Auto Parts"
55.71038637.445272,"Верейская плаза"
55.71052537.369576,Паровозик
55.7105437.6583,"Wise Guy Mural"
55.71054237.779837,"122-мм Пушка-гаубица Д-30"
55.71055537.889166,"На площади в Кожухово"
55.71056637.790458,"Red Energy Graffiti"
55.71058537.540138,"Храм Троицы Живоначальной"
55.71060137.781057,"МужиК И две Рыбы"
55.71072437.643344,"Street Art"
55.71073937.63151,"Свято-Данилов монастырь"
55.71075737.814585,Графити
55.71082737.623393,"The Chapel of St. Daniel of Moscow"
55.7108837.738067,"Блюющий ЕДИНОРОГ"
55.71091237.774425,"Граффити Чувак И Замок"
55.71091637.453531,"Граффити Дуб и курица"
55.71097337.57957,"Часы на Академии наук"
55.71106237.61276,"Памятник героям ВОВ"
55.71115937.653614,"Церковь Рождества Пресвятой Богородицы"
55.71130837.477047,"Граффити на кирпиче"
55.71135137.800495,Пулеметчик
55.71147937.887164,"Детская площадка"
55.7115337.684159,"Памятник солдатам ВОВ"
55.71163337.731532,"Детская Площадка"
55.71166637.887222,Зонтик
55.71170737.76331,"Orthodox Church Graffiti"
55.71173237.489574,"Ракетный двигатель "
55.7119437.900369,"War Memorial"
55.71195537.613751,"Церковь Во имя Тихвинской Пресвятой Богородицы"
55.71197137.665246,Cart
55.71216937.729736,"Памятник Пушкину А.С."
55.7121837.607073,"Почта России 115419"
55.71219637.472209,"Крест будущего Храма Пресвятой Богородицы"
55.71220837.501735,"Raccoon's House"
55.71221237.566516,"Арена Дружба"
55.71221837.752927,"Памятник погибшим"
55.71236337.795769,Ракушка
55.7123937.627825,"kinetic sculpture"
55.71242437.487684,"Стражники детской площадки"
55.71245237.541672,Музыка
55.71246437.414286," Victory"
55.71257837.758336,"Туркус Фонтанус Лопухус"
55.71263337.394923,Cathill
55.71266337.463416,Граффити
55.71273137.433413,"Rocket System DOZ"
55.71273537.754688,"Фонтан Зимой"
55.71289437.752296,"Слава Победителям"
55.71290837.481277,"Кутайсов А.И."
55.71298737.584214,"Девушка в лесу скучает"
55.71309437.854021,"ДК Косино"
55.71322937.65517,"Snow White Arbor"
55.71329737.74398,"ОДИНОКИЙ ЛЕБЕДЬ"
55.71340437.71983,"Автосалон Авилон"
55.71340937.500561,Беседка
55.71355437.658462,"Солевая башня Симонова монасты"
55.71366937.6047,Башня
55.71375537.749015,"Sonic The Hedgehog Graffiti"
55.71390737.718535,"Авилон Плаза"
55.71399337.814521,"For Professors of Sum Who Gave Lives for Victory"
55.71415737.54944,"UEFA Cup 1999"
55.7142137.403361,"Memorial House"
55.71421137.47771,"Паровоз с выгружной аппарелью"
55.71422837.676477,"Coral Fish Mural"
55.71432237.879198,Звездочки
55.71437937.42723,"Сетуньский Заказник"
55.7143937.551293,"олимпиада 80"
55.71442137.571292,"Памятник Вождю"
55.71443537.658791,"Дворец Культуры ЗИЛ"
55.71444737.505072,"Высотки В Небо, Как Три Ракеты"
55.71447937.584299,"Охотничий домик в Нескучном саду"
55.7146537.566448,"Олимпийский Комитет России "
55.71477337.616438,"Граффити На ЦТП"
55.71479537.755427,"Семья Рыб"
55.71490837.735053,"Катер Мечта"
55.71490937.458487,"Фонтан "Лебедь""
55.71493837.576954,"ЖД Мост"
55.71496437.80316,"Здесь был дом где родился Герой СССР Вострухин Петр Михайлович"
55.7149737.773447,"Кони В Цветах Флага РФ"
55.71501637.907845,"Wooden Train "
55.71511837.742491,"Детская Библиотека"
55.71518737.746831,"Pirate Ship"
55.7152137.457675,Граффити
55.7152237.392689,Dot
55.71523937.856054,"Choose Sport"
55.71525337.741655,Мельница
55.71527737.816692,"Чистый Город Вашим Детям"
55.71539437.599608,"Донской Монастырь"
55.71541237.568847,Дровосеки
55.71548637.669727,"Монумент "Памяти..." (1941-45)"
55.7156337.479551,"Мусорный лев"
55.71578737.619245,Bibika
55.71590637.593151,"Храм Козельщанской иконы божией матери"
55.71591937.678627,"ГПЗ - 1"
55.71598737.452843,"Библиотека "Бестселлер""
55.71599137.817875,"Платформа Выхино"
55.71604137.882134,"Стрекоза "
55.71610337.58601,"Беседка 800 лет Москве"
55.7162437.790113,"Фонтан "
55.71636737.40092,"Minsk "
55.71638737.750163,Guffy
55.71638837.792777,"Metro Ryazanskiy Prospekt"
55.71646237.373773,"Церковь Рождества Христова"
55.716537.409573,"USSR Sputnik Mural"
55.7165737.696904,"Kostandov Memorial Plaque"
55.71657337.521273,"В этом здании работал Жилин"
55.716737.516523,"Улица Улофа Пальме"
55.71685737.387608,"Post Office "
55.7170837.66284,"Wall Changers"
55.71710537.43683,"Детский Паровоз"
55.7171337.886008,"Ядерные Грибы "
55.7172437.525386,Граффити
55.71725637.611354,"Shukhov Tower"
55.71738937.643784,"Водонапорная Башня"
55.7173937.556323,"Fontan Luzhniki"
55.71743937.857732,"People Power Mosaic"
55.7175437.676072,"Героям Вечная Слава"
55.71754437.608243,"Библиотека 172"
55.71755137.626685,"Герб Таргариенов"
55.71761537.811715,Boy
55.71775237.833155,"POPAI Russia"
55.71775537.798025,"Улица Вострухина"
55.71780137.791313,Депутаты
55.71785137.408673,РОД
55.71803837.785586,Куб
55.71819437.778623,"Храм Преподобного Сергия Радонежского"
55.71844937.729958,"Cats Graffiti"
55.71849237.819161,"Прекрасная Бабочка"
55.71857437.731413,"Граффити На здании"
55.71858937.453607,Ваза
55.71867137.673685,"Святая Апостольская Соборная Ассирийская Церковь Востока"
55.71872337.829043,Бегуны
55.71882137.608198,"Метро Шаболовская"
55.71900737.586999,ныряльщица
55.71903437.857026,"Церковь На Воде"
55.71904337.88949,"Мемориальный камень река Рудневка"
55.71904637.857293,"Uspenskaya Church "
55.71905637.422294,"Отделение Почтовой Связи 471"
55.71908537.582252,"Dolmatovsky Memorial Pad"
55.71909937.902304,Родник
55.7191337.415851,Ротонда
55.71923137.805724,"Памятник Хлобыстову "
55.71925537.546641,"Памятник Валерию Харламову"
55.71927537.417227,"Воин с щитом"
55.71931637.822784,Улитка
55.71940137.782112,Ресторан-Мельница
55.71942137.429187,"Сказки о Мельнице"
55.71945237.387212,"Карусель Пластик"
55.7195637.615787,"Памятник москвичам, погибшим п"
55.71979137.663074,"Старое Симоново"
55.7198537.392775,Граффити
55.71985337.501971,"Плодовый Сад"
55.72011337.43267,"Fountain Shosse  "
55.72034837.509059,"Долина р.Сетунь"
55.72038937.738,"Макаронный дом"
55.72040437.361997,"Бронзовый Лев"
55.72040737.601055,Институт_Косыгина
55.72049437.628205,"Ленин в Партийном"
55.72051737.635656,"Памятник Сену"
55.72059737.701196,"Граффити "Поезд""
55.72062837.63048,"Вечный огонь завод Михельсона"
55.72063237.528852,"Храм Св. Бутафория На Мосфильме"
55.72066537.40966,"Море И Горы Mural"
55.72067537.468232,"New Wooden Church"
55.72078237.561042,"Центральный путепровод"
55.72079637.551259,"Футболист Эдуард Стрельцов 199"
55.72081637.858035,"Маяк При Косинском Морском Клубе"
55.72092237.792246,"Детская Площадка"
55.72099537.523217,"Фонтанчик Во Дворе"
55.72106437.53235,"Ton-studio "
55.72111137.637433,"Statue Of Monkey In Office "
55.72123137.55231,"Олимпийский талисман Мишка"
55.72126437.904772,Паутина
55.72132937.450882,ЖКХ-арт
55.72135937.909952,Трактор
55.72136337.399416,"Lion Heads Fountain"
55.72151937.398209,"Fox Graffity"
55.72152337.66844,"Арка "Крах Машиностроения""
55.72152837.894874,"Пирамида "
55.72159737.82367,"Площадь Амилкара Кабрала"
55.72182337.654866,"1-я ситценабивная фабрика"
55.72186837.723323,"Спортивные Кольца"
55.72190737.891971,Цыпа
55.72195537.598091,Карета
55.72204637.521874,Троицкое-Голенищево
55.72206637.467999,"Violet Tennis Players Graffiti"
55.72209937.69572,Сбербанк
55.72210337.420175,Snuppy
55.72217537.445016,"Цирюльник. Картина"
55.72217637.602136,"Математик Понтрягин"
55.72223937.619559,Графити
55.72224137.561996,"Метро Спортивная южный выход"
55.7222637.617619,Часы
55.72233837.806827,"Статуя советской девушки"
55.72239437.798055,"ЖД станция Вешняки"
55.72241737.82704,"Детская Площадка"
55.7224537.895631,"Почта России"
55.72250337.737845,Машинка
55.72250837.908131,"Ну, Погоди!"
55.72260137.597406,Тоннель
55.72261637.51583,"Evalar Head Office"
55.72263837.533691,"Статуя Кинооператора"
55.72266637.652901,"Бу Новоспасский Двор"
55.72267737.735365,"Горка Шахматы"
55.72270637.442606,Домик
55.72274537.461428,M4C
55.72274537.576899,Леонов
55.72274637.811171,Боксёр
55.72277437.640086,"Москва Товарная Павелецкая"
55.72286337.477978,"Долина Реки Сетунь"
55.72288437.63184,"Street Art"
55.72290837.437076,"Eduard Bagritsky"
55.72297537.46129,Беседка
55.7230437.592583,"R YBKCOM"
55.72304337.610842,"Храм Троицы Первоначальной"
55.72323837.592075,"Девушка С Веслом"
55.72329337.383387,"Москва город Герой"
55.72329537.434041,"Остатки Храма"
55.7233337.753181,"Доска Почёта"
55.7235137.780105,"почта 109428"
55.72359237.752064,"Павшим Войнам За Родину"
55.72367237.798338,"Храм Успения в Вешняках"
55.72381337.569847,"Мемориальная Доска"
55.72390337.565668,"ст. м. "Спортивная""
55.72393337.653348,"Info History"
55.72400237.524732,"Девушка с кувшинами"
55.72416237.636725,Теремок
55.72422537.904973,Лебеди
55.72428637.635891,Танк
55.7243637.395329,"Вечная Память"
55.72449137.573562,"Карандаш и Клякса 2008г"
55.72456737.815182,"Графитти на Снайперской"
55.72459637.59448,Фонтан
55.72466137.650388,"памятник Спиридонову Н. И."
55.72484337.606232,"Сухой "
55.72507537.461045,Недоглобус
55.72518937.397379,Скульптура
55.72523937.665603,"Детская Развлекуха"
55.72528337.497121,Мечеть
55.72528937.785939,"Рабочий ВИМ"
55.72553837.83578,"Вазон в сквере"
55.72575737.670789,"Мюзикл нон-стоп"
55.72583237.416709,"Летний Фонтан"
55.72585137.528548,"Дом А.А. Тарковского"
55.72606837.687678,"Фонтан Олень"
55.72608737.422681,"Здание Криминальной милиции (б"
55.72610537.559331,"Памятный Камень"
55.72613637.834067,"Детская площадка Косинская ул."
55.72615737.354121,Горка
55.72624337.770712,"Дом со звездами"
55.72631537.679299,"KB Mashinostroyeniya"
55.72645437.763521,"Дом Героя Советского Союза"
55.72647537.771816,"Кинотеатр "ВОСХОД""
55.72647937.599433,Dualistka
55.72654137.542196,Скворечник
55.72656137.62428,"Вознесенский храм за Серпуховскими Воротами"
55.72669737.757169,Внииметмаш
55.72673737.356195,"Dream City"
55.72675537.626669,"Ricardo Cavolo <3 Moscow"
55.72678337.451741,"АСГ Ветеран-железнодорожник"
55.72692137.415079,"Рабочий Поселок"
55.72695337.449372,Кунцево
55.72713837.423673,"Люба "
55.72718637.58139,"Скульптура на Фрунзенской"
55.72734537.629267,"Bobruysk Militia's"
55.72743137.613955,"Граффити Апаков  и вагоновожатые"
55.72744237.532554,"VNIKI Institute Plaque"
55.72745737.536323,Планета
55.72748137.44267,"Памятник В Честь 65 Годовщины Битвы За Москву"
55.72750937.479715,Эдельвейс
55.72763637.812351,"MosGU Entrance"
55.72767137.757856,"Памятник 50-ти летию Стахановского Движения."
55.72767137.801186,"Children Place In Kuskovo "
55.72775837.567452,"Усачевский Рынок"
55.72784437.722502,"Арка Зеленых Лягушек "
55.7279437.591552,Офицеры
55.72794537.342177,"Dragon Portal"
55.7281537.510768,Москва-сортировочная
55.72828737.659203,"Крутицкое Патриаршее Подворье"
55.72837137.653438,"Новоспасский мост"
55.72843937.637402,"Церковь Флора и Лавра"
55.72856137.680592,"Улица Талалихина"
55.72871637.547295,1905
55.72873837.579316,Dog
55.72882237.508185,Немцы
55.72892937.649005,Мозаика
55.72903237.63408,"GUSB MVD RF"
55.7290537.624745,"Поэт Алишер Навои"
55.72907337.468787,"Славянский Бульвар "
55.72909137.406153,"Московский Межрайонный Почтамт 6"
55.72922337.681297,"В память о Войне у Микояновского"
55.72937237.806268,"Вход В Парк Кусково"
55.72945137.498616,"Памятник 70 Лет Победы"
55.72945337.50453,"Аллея Голубых Елей"
55.72946637.544094,Safisa
55.72950237.61318,"Памятник Ленину"
55.72953737.828917,"Мемориальный камень Ликвидаторам последствий Чернобыльской Катастрофы"
55.72960837.600629,"Фонтан Парк Горького"
55.72965237.577465,"Камень В Честь Зенитной Батареи."
55.72977137.61033,МИСиС
55.72981637.557534,"Библиотека Имени Волошина"
55.72984837.768357,"Иа-Иа и Пятачок"
55.72988837.722286,"Граффити "Энергосбережение""
55.72993537.563853,"Академик Петровский Борис Васильевич"
55.73002537.643304,"Graffiti Wall"
55.73010137.414882,"Граффити Дома"
55.73021637.557036,"Post Office ZIP 119435"
55.73021737.635908,"Business Centre Tower"
55.73027237.82657,"Камень "Аллея Российской газеты""
55.73042137.528638,"Кораблик на излучине"
55.73058837.465892,"Будка Ток-ток - Бо-бо"
55.73059637.774394,"Ст. Плющево"
55.73062937.629373,"Light House"
55.7306337.592262,"Медведи за зеленую"
55.73064437.698902,"Киты капитализма"
55.73065337.827776,"Памятник победе в ВОВ 1941-1945, парк Радуга"
55.73072937.466844,Лева
55.73073437.445601,"Кунцевская Метро"
55.73080137.414954,"Сказки о беседах"
55.73098837.448795,"Woman Graffiti"
55.73098937.748692,"Почта России "
55.73101337.450333,"Курящая Ящерица"
55.73102537.496335,""здесь будет памятник сооружен""
55.73104637.862302,"АвтоМойка "
55.73105637.505195,"Музей 1941-1945"
55.73111737.802223,дудун
55.73115137.558232,"Графити на Савинской"
